ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,1.570796326447128615e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326481905484e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326513204666e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326541373756e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326566726089e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326589543124e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326610078347e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326628560308e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326645193921e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326660164150e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326673637097e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326685763031e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326696676177e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326706498398e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326715338332e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326723294207e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326730454278e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326736898559e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326742698390e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326747917956e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326752616021e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326756843976e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326760649309e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326764074087e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326767156257e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326769930079e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326772426780e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326774673898e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326776696152e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326778516093e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326780154323e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326781628404e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326782955034e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326784149174e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326785223835e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326786191160e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326787061558e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326787845002e-03,-9.794841972265039942e+00
0.000000000000000000e+00,1.570796326788550384e-03,-9.794841972265039942e+00
