ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.000000000000000000e+00,0.000000000000000000e+00,8.992264459898546392e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.993038013908693173e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.993734212517823678e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.994360791266041488e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.994924712139438228e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.995432240925493872e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.995889016832945728e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.996300115149649557e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.996670103634684779e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.997003093271217722e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.997302783944094884e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.997572505549685573e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.997815254994716128e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.998033729495244160e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.998230356545718678e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.998407320891146810e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.998566588802033195e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.998709929921830053e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.998838936929647758e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.998955043236682272e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999059538913014578e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999153585021712587e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999238226519540973e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999314403867586520e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999382963480828224e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999444667132744158e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999500200419468854e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999550180377521968e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999595162339769416e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999635646105792475e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999672081495212694e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.999704873345692135e+00
