time (sec),ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),ref_gyro_x (rad/s),ref_gyro_y (rad/s),ref_gyro_z (rad/s),gyro_x (rad/s),gyro_y (rad/s),gyro_z (rad/s),mag_x (uT),mag_y (uT),mag_z (uT),ref_pos_x (m),ref_pos_y (m),ref_pos_z (m),ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s),ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg),q0 (),q1,q2,q3
0.31,0.0,0.0,-9.7803253359,0.010055000207376652,0.01022747636433197,-9.77054386365749,0.0,0.0,0.0,-0.00018482130807473532,-8.215196671245389e-06,2.7642297501790283e-05,-2.495132593131289e-06,3.0556561436264684e-22,1.1723262449582423e-06,0.0,0.03100000000000002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.32,0.0,0.0,-9.7803253359,0.00945101060012414,0.009338709119632192,-9.77002926790093,0.0,0.0,0.0,-3.1359917607176484e-05,-7.382910548403321e-05,-2.4369178851658994e-05,-2.5359276169005417e-06,3.1056156389066238e-22,1.231049992757539e-06,0.0,0.03200000000000002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.33,0.0,0.0,-9.7803253359,0.010349212821081533,0.0102057666981303,-9.770514263306072,0.0,0.0,0.0,0.00021005594717708848,2.862357344967914e-05,-0.00016432597958812846,-2.5766451746315823e-06,3.15548026565104e-22,1.291868634635667e-06,0.0,0.03300000000000002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.34,0.0,0.0,-9.7803253359,0.00984155199947083,0.009523263534779156,-9.770824786069731,0.0,0.0,0.0,0.0002839283723446861,-0.00012735546132807587,-0.00017876513603170259,-2.6172234843140355e-06,3.2051743627184662e-22,1.3548272182692898e-06,0.0,0.03400000000000002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.35,0.0,0.0,-9.7803253359,0.00999312231207239,0.010235443619663902,-9.770249381122072,0.0,0.0,0.0,9.82105656974723e-05,5.406172277063595e-05,2.9937750094248312e-05,-2.6575967591079645e-06,3.2546173644659483e-22,1.4199693443054373e-06,0.0,0.035000000000000024,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.36,0.0,0.0,-9.7803253359,0.009881677784881455,0.009926755649562125,-9.771175823619929,0.0,0.0,0.0,3.2886496777939426e-05,0.00011688335635243247,-1.0066195266598416e-05,-2.697695096770051e-06,3.3037236653349515e-22,1.487336902362344e-06,0.0,0.036000000000000025,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.37,0.0,0.0,-9.7803253359,0.009712555053493152,0.009869867712446849,-9.770074727479443,0.0,0.0,0.0,-0.0001282914417381155,0.00015536986406616905,0.0002862629013575143,-2.7374443777319696e-06,3.352402495033375e-22,1.5569697892857687e-06,0.0,0.037000000000000026,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.38,0.0,0.0,-9.7803253359,0.009653529284576728,0.009762576775603382,-9.77032430521379,0.0,0.0,0.0,6.46714779527736e-05,0.00012002779486591772,0.0001235364020286367,-2.7767661734083133e-06,3.400557806245135e-22,1.6289056093971455e-06,0.0,0.03800000000000003,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.39,0.0,0.0,-9.7803253359,0.009738131069297806,0.009950538883211135,-9.770201536442185,0.0,0.0,0.0,-9.399747706073788e-05,-0.00010418877737230455,-0.0002954273361786972,-2.8155776664563473e-06,3.4480881769765396e-22,1.7031793566750562e-06,0.0,0.03900000000000002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4,0.0,0.0,-9.7803253359,0.009721737369702112,0.009680342817256877,-9.770420761143598,0.0,0.0,0.0,8.356258849444967e-06,-0.0001683932376085975,4.714837818090184e-05,-2.8537915847761613e-06,3.4948867297297785e-22,1.7798230788346967e-06,0.0,0.04000000000000002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.41,0.0,0.0,-9.7803253359,0.009949501511407971,0.010029037055238582,-9.770475189477084,0.0,0.0,0.0,-8.291101996777908e-06,-0.0001353777387394657,0.00030278837139846007,-2.8913161511736777e-06,3.5408410698578897e-22,1.8588655235005934e-06,0.0,0.04100000000000002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.42,0.0,0.0,-9.7803253359,0.0100766780547192,0.01014483303594716,-9.770303850641245,0.0,0.0,0.0,9.430630005669752e-05,-1.929989084797423e-05,0.00026597940770170373,-2.9280550507210556e-06,3.5858332455927816e-22,1.9403317667785445e-06,0.0,0.04200000000000003,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.43,0.0,0.0,-9.7803253359,0.010123405163222592,0.009636345424417747,-9.770218424462442,0.0,0.0,0.0,1.1407916497391305e-06,-8.570478907760086e-05,-0.00018266140927020999,-2.963907417905096e-06,3.629739732306572e-22,2.024242824767033e-06,0.0,0.04300000000000003,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
