ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
1.789323100820183754e-02,2.303143963217735291e-03,0.000000000000000000e+00
1.798960333690047264e-02,2.329834736883640289e-03,0.000000000000000000e+00
1.808593375608325005e-02,2.356675453484058380e-03,0.000000000000000000e+00
1.818222180008888245e-02,2.383668906986713409e-03,0.000000000000000000e+00
1.827846700325608253e-02,2.410813234746456146e-03,0.000000000000000000e+00
1.837466983124613762e-02,2.438107505440711975e-03,0.000000000000000000e+00
1.847082981839776039e-02,2.465554513037204742e-03,0.000000000000000000e+00
1.856694649904966354e-02,2.493151463568210602e-03,0.000000000000000000e+00
1.866301940754055977e-02,2.520900219678878784e-03,0.000000000000000000e+00
1.875904854387044907e-02,2.548798918724060059e-03,0.000000000000000000e+00
1.885503437370061874e-02,2.576848492026329041e-03,0.000000000000000000e+00
1.895097550004720688e-02,2.605049870908260345e-03,0.000000000000000000e+00
1.904687238857150078e-02,2.633401192724704742e-03,0.000000000000000000e+00
1.914272457361221313e-02,2.661902457475662231e-03,0.000000000000000000e+00
1.923853158950805664e-02,2.690555527806282043e-03,0.000000000000000000e+00
1.933429390192031860e-02,2.719357609748840332e-03,0.000000000000000000e+00
1.943001057952642441e-02,2.748311497271060944e-03,0.000000000000000000e+00
1.952568208798766136e-02,2.777415327727794647e-03,0.000000000000000000e+00
1.962130703032016754e-02,2.806669101119041443e-03,0.000000000000000000e+00
1.971688633784651756e-02,2.836072817444801331e-03,0.000000000000000000e+00
1.981241954490542412e-02,2.865627408027648926e-03,0.000000000000000000e+00
1.990790618583559990e-02,2.895331010222434998e-03,0.000000000000000000e+00
2.000334579497575760e-02,2.925185486674308777e-03,0.000000000000000000e+00
2.009873837232589722e-02,2.955188974738121033e-03,0.000000000000000000e+00
2.019408391788601875e-02,2.985343337059020996e-03,0.000000000000000000e+00
2.028938150033354759e-02,3.015646710991859436e-03,0.000000000000000000e+00
2.038463205099105835e-02,3.046100027859210968e-03,0.000000000000000000e+00
2.047983417287468910e-02,3.076702356338500977e-03,0.000000000000000000e+00
2.057498833164572716e-02,3.107454627752304077e-03,0.000000000000000000e+00
2.067009406164288521e-02,3.138356842100620270e-03,0.000000000000000000e+00
2.076515089720487595e-02,3.169407136738300323e-03,0.000000000000000000e+00
2.086015883833169937e-02,3.200608305633068085e-03,0.000000000000000000e+00
2.095511788502335548e-02,3.231957554817199707e-03,0.000000000000000000e+00
2.105002757161855698e-02,3.263455815613269806e-03,0.000000000000000000e+00
2.114488743245601654e-02,3.295104019343852997e-03,0.000000000000000000e+00
2.123969793319702148e-02,3.326900303363800049e-03,0.000000000000000000e+00
2.133445814251899719e-02,3.358845598995685577e-03,0.000000000000000000e+00
2.142916759476065636e-02,3.390939906239509583e-03,0.000000000000000000e+00
2.152382722124457359e-02,3.423183225095272064e-03,0.000000000000000000e+00
2.161843562498688698e-02,3.455575555562973022e-03,0.000000000000000000e+00
2.171299327164888382e-02,3.488115034997463226e-03,0.000000000000000000e+00
2.180749922990798950e-02,3.520804457366466522e-03,0.000000000000000000e+00
2.190195443108677864e-02,3.553641960024833679e-03,0.000000000000000000e+00
2.199635747820138931e-02,3.586626611649990082e-03,0.000000000000000000e+00
2.209070883691310883e-02,3.619761206209659576e-03,0.000000000000000000e+00
2.218500757589936256e-02,3.653042949736118317e-03,0.000000000000000000e+00
2.227925416082143784e-02,3.686472773551940918e-03,0.000000000000000000e+00
2.237344859167933464e-02,3.720050677657127380e-03,0.000000000000000000e+00
2.246758947148919106e-02,3.753776662051677704e-03,0.000000000000000000e+00
2.256167773157358170e-02,3.787650726735591888e-03,0.000000000000000000e+00
2.265571244060993195e-02,3.821671940386295319e-03,0.000000000000000000e+00
2.274969359859824181e-02,3.855841234326362610e-03,0.000000000000000000e+00
2.284362120553851128e-02,3.890158608555793762e-03,0.000000000000000000e+00
2.293749433010816574e-02,3.924622200429439545e-03,0.000000000000000000e+00
2.303131343796849251e-02,3.959233872592449188e-03,0.000000000000000000e+00
2.312507806345820427e-02,3.993993625044822693e-03,0.000000000000000000e+00
2.321878820657730103e-02,4.028899595141410828e-03,0.000000000000000000e+00
2.331244293600320816e-02,4.063952714204788208e-03,0.000000000000000000e+00
2.340604271739721298e-02,4.099152982234954834e-03,0.000000000000000000e+00
2.349958708509802818e-02,4.134501330554485321e-03,0.000000000000000000e+00
2.359307603910565376e-02,4.169994965195655823e-03,0.000000000000000000e+00
2.368650911375880241e-02,4.205636680126190186e-03,0.000000000000000000e+00
2.377988584339618683e-02,4.241424612700939178e-03,0.000000000000000000e+00
2.387320622801780701e-02,4.277358762919902802e-03,0.000000000000000000e+00
2.396647026762366295e-02,4.313440062105655670e-03,0.000000000000000000e+00
2.405967703089118004e-02,4.349667578935623169e-03,0.000000000000000000e+00
2.415282744914293289e-02,4.386041313409805298e-03,0.000000000000000000e+00
2.424592012539505959e-02,4.422561265528202057e-03,0.000000000000000000e+00
2.433895552530884743e-02,4.459228366613388062e-03,0.000000000000000000e+00
2.443193318322300911e-02,4.496040754020214081e-03,0.000000000000000000e+00
2.452485309913754463e-02,4.532998427748680115e-03,0.000000000000000000e+00
2.461771434172987938e-02,4.570103250443935394e-03,0.000000000000000000e+00
2.471051737666130066e-02,4.607353359460830688e-03,0.000000000000000000e+00
2.480326220393180847e-02,4.644749686121940613e-03,0.000000000000000000e+00
2.489594789221882820e-02,4.682291299104690552e-03,0.000000000000000000e+00
2.498857444152235985e-02,4.719978198409080505e-03,0.000000000000000000e+00
2.508114138618111610e-02,4.757810384035110474e-03,0.000000000000000000e+00
2.517364919185638428e-02,4.795788787305355072e-03,0.000000000000000000e+00
2.526609739288687706e-02,4.833911545574665070e-03,0.000000000000000000e+00
2.535848505795001984e-02,4.872179590165615082e-03,0.000000000000000000e+00
2.545081311836838722e-02,4.910593852400779724e-03,0.000000000000000000e+00
2.554308017715811729e-02,4.949151538312435150e-03,0.000000000000000000e+00
2.563528669998049736e-02,4.987855441868305206e-03,0.000000000000000000e+00
2.572743268683552742e-02,5.026702769100666046e-03,0.000000000000000000e+00
2.581951720640063286e-02,5.065696313977241516e-03,0.000000000000000000e+00
2.591154025867581367e-02,5.104833282530307770e-03,0.000000000000000000e+00
2.600350184366106987e-02,5.144115537405014038e-03,0.000000000000000000e+00
2.609540149569511414e-02,5.183541215956211090e-03,0.000000000000000000e+00
2.618723921477794647e-02,5.223112180829048157e-03,0.000000000000000000e+00
2.627901500090956688e-02,5.262826569378376007e-03,0.000000000000000000e+00
2.637072792276740074e-02,5.302685312926769257e-03,0.000000000000000000e+00
2.646237798035144806e-02,5.342688411474227905e-03,0.000000000000000000e+00
2.655396517366170883e-02,5.382835865020751953e-03,0.000000000000000000e+00
2.664548950269818306e-02,5.423125810921192169e-03,0.000000000000000000e+00
2.673695003613829613e-02,5.463560111820697784e-03,0.000000000000000000e+00
2.682834723964333534e-02,5.504138767719268799e-03,0.000000000000000000e+00
2.691968064755201340e-02,5.544859915971755981e-03,0.000000000000000000e+00
2.701094979420304298e-02,5.585724487900733948e-03,0.000000000000000000e+00
2.710215421393513680e-02,5.626733414828777313e-03,0.000000000000000000e+00
2.719329483807086945e-02,5.667884834110736847e-03,0.000000000000000000e+00
2.728437026962637901e-02,5.709178745746612549e-03,0.000000000000000000e+00
2.737538097426295280e-02,5.750617012381553650e-03,0.000000000000000000e+00
2.746632648631930351e-02,5.792196840047836304e-03,0.000000000000000000e+00
2.755720634013414383e-02,5.833920091390609741e-03,0.000000000000000000e+00
2.764802053570747375e-02,5.875786766409873962e-03,0.000000000000000000e+00
2.773876907303929329e-02,5.917795002460479736e-03,0.000000000000000000e+00
2.782945148646831512e-02,5.959945730865001678e-03,0.000000000000000000e+00
2.792006731033325195e-02,6.002239882946014404e-03,0.000000000000000000e+00
2.801061701029539108e-02,6.044675596058368683e-03,0.000000000000000000e+00
2.810109965503215790e-02,6.087252870202064514e-03,0.000000000000000000e+00
2.819151524454355240e-02,6.129973568022251129e-03,0.000000000000000000e+00
2.828186377882957458e-02,6.172834895551204681e-03,0.000000000000000000e+00
2.837214479222893715e-02,6.215838715434074402e-03,0.000000000000000000e+00
2.846235828474164009e-02,6.258984096348285675e-03,0.000000000000000000e+00
2.855250379070639610e-02,6.302271969616413116e-03,0.000000000000000000e+00
2.864258131012320518e-02,6.345700472593307495e-03,0.000000000000000000e+00
2.873259037733078003e-02,6.389270536601543427e-03,0.000000000000000000e+00
2.882253099232912064e-02,6.432982161641120911e-03,0.000000000000000000e+00
2.891240268945693970e-02,6.476835347712039948e-03,0.000000000000000000e+00
2.900220546871423721e-02,6.520829163491725922e-03,0.000000000000000000e+00
2.909193886443972588e-02,6.564963608980178833e-03,0.000000000000000000e+00
2.918160287663340569e-02,6.609239615499973297e-03,0.000000000000000000e+00
2.927119750529527664e-02,6.653656251728534698e-03,0.000000000000000000e+00
2.936072181910276413e-02,6.698213517665863037e-03,0.000000000000000000e+00
2.945017628371715546e-02,6.742911413311958313e-03,0.000000000000000000e+00
2.953956043347716331e-02,6.787749938666820526e-03,0.000000000000000000e+00
2.962887426838278770e-02,6.832729093730449677e-03,0.000000000000000000e+00
2.971811685711145401e-02,6.877847947180271149e-03,0.000000000000000000e+00
2.980728866532444954e-02,6.923106499016284943e-03,0.000000000000000000e+00
2.989638969302177429e-02,6.968505680561065674e-03,0.000000000000000000e+00
2.998541854321956635e-02,7.014044560492038727e-03,0.000000000000000000e+00
3.007437614724040031e-02,7.059723138809204102e-03,0.000000000000000000e+00
3.016326203942298889e-02,7.105541415512561798e-03,0.000000000000000000e+00
3.025207575410604477e-02,7.151499390602111816e-03,0.000000000000000000e+00
3.034081682562828064e-02,7.197597064077854156e-03,0.000000000000000000e+00
3.042948571965098381e-02,7.243833504617214203e-03,0.000000000000000000e+00
3.051808197051286697e-02,7.290209643542766571e-03,0.000000000000000000e+00
3.060660511255264282e-02,7.336725480854511261e-03,0.000000000000000000e+00
3.069505514577031136e-02,7.383379153907299042e-03,0.000000000000000000e+00
3.078343160450458527e-02,7.430172525346279144e-03,0.000000000000000000e+00
3.087173448875546455e-02,7.477103732526302338e-03,0.000000000000000000e+00
3.095996379852294922e-02,7.524174638092517853e-03,0.000000000000000000e+00
3.104811860248446465e-02,7.571383379399776459e-03,0.000000000000000000e+00
3.113619936630129814e-02,7.618730887770652771e-03,0.000000000000000000e+00
3.122420608997344971e-02,7.666216231882572174e-03,0.000000000000000000e+00
3.131213737651705742e-02,7.713840343058109283e-03,0.000000000000000000e+00
3.139999415725469589e-02,7.761602289974689484e-03,0.000000000000000000e+00
3.148777596652507782e-02,7.809502072632312775e-03,0.000000000000000000e+00
3.157548187300562859e-02,7.857539691030979156e-03,0.000000000000000000e+00
3.166311280801892281e-02,7.905715145170688629e-03,0.000000000000000000e+00
3.175066784024238586e-02,7.954027503728866577e-03,0.000000000000000000e+00
3.183814650401473045e-02,8.002477698028087616e-03,0.000000000000000000e+00
3.192554926499724388e-02,8.051065728068351746e-03,0.000000000000000000e+00
3.201287519186735153e-02,8.099790662527084351e-03,0.000000000000000000e+00
3.210012521594762802e-02,8.148653432726860046e-03,0.000000000000000000e+00
3.218729794025421143e-02,8.197652176022529602e-03,0.000000000000000000e+00
3.227439336478710175e-02,8.246787823736667633e-03,0.000000000000000000e+00
3.236141195520758629e-02,8.296061307191848755e-03,0.000000000000000000e+00
