ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
9.990202906608951217e-03,4.425447827983843918e-04,0.000000000000000000e+00
9.989508565008086566e-03,4.579504663499070331e-04,0.000000000000000000e+00
9.988789109776952807e-03,4.733836925807116572e-04,0.000000000000000000e+00
9.988044550041550243e-03,4.888415555016729312e-04,0.000000000000000000e+00
9.987274898055590808e-03,5.043214358607791756e-04,0.000000000000000000e+00
9.986480168536629801e-03,5.198209724747610309e-04,0.000000000000000000e+00
9.985660378099937146e-03,5.353380364265401727e-04,0.000000000000000000e+00
9.984815544778060520e-03,5.508707078420622700e-04,0.000000000000000000e+00
9.983945687615245271e-03,5.664172549887064138e-04,0.000000000000000000e+00
9.983050826327107691e-03,5.819761154632274117e-04,0.000000000000000000e+00
9.982130981016976504e-03,5.975458792603782635e-04,0.000000000000000000e+00
9.981186171941366925e-03,6.131252735342318950e-04,0.000000000000000000e+00
9.980216419317849627e-03,6.287131488830083889e-04,0.000000000000000000e+00
9.979221743169430434e-03,6.443084670051241452e-04,0.000000000000000000e+00
9.978202163200245237e-03,6.599102895893953127e-04,0.000000000000000000e+00
9.977157698698028640e-03,6.755177683160319344e-04,0.000000000000000000e+00
9.976088368459340439e-03,6.911301358573834807e-04,0.000000000000000000e+00
9.974994190734108243e-03,7.067466977784961834e-04,0.000000000000000000e+00
9.973875183186412322e-03,7.223668252475335056e-04,0.000000000000000000e+00
9.972731362868938326e-03,7.379899484750958652e-04,0.000000000000000000e+00
9.971562746208740419e-03,7.536155508095736385e-04,0.000000000000000000e+00
9.970369349002425677e-03,7.692431634229469082e-04,0.000000000000000000e+00
9.969151186418992103e-03,7.848723605280008347e-04,0.000000000000000000e+00
9.967908273008896022e-03,8.005027550738308536e-04,0.000000000000000000e+00
9.966640622718096407e-03,8.161339948718133227e-04,0.000000000000000000e+00
9.965348248905997117e-03,8.317657591090075759e-04,0.000000000000000000e+00
9.964031164366390220e-03,8.473977552102505148e-04,0.000000000000000000e+00
9.962689381350633630e-03,8.630297160140787231e-04,0.000000000000000000e+00
9.961322911592409082e-03,8.786613972311004255e-04,0.000000000000000000e+00
9.959931766333534817e-03,8.942925751565729579e-04,0.000000000000000000e+00
9.958515956350345519e-03,9.099230446117695555e-04,0.000000000000000000e+00
9.957075491980339407e-03,9.255526170912556491e-04,0.000000000000000000e+00
9.955610383148698686e-03,9.411811190954838275e-04,0.000000000000000000e+00
9.954120639394506420e-03,9.568083906301779080e-04,0.000000000000000000e+00
9.952606269896434321e-03,9.724342838558246898e-04,0.000000000000000000e+00
9.951067283497745317e-03,9.880586618722625013e-04,0.000000000000000000e+00
9.949503688730499881e-03,1.003681397624856626e-03,0.000000000000000000e+00
9.947915493838870721e-03,1.019302372920101625e-03,0.000000000000000000e+00
9.946302706801510296e-03,1.034921477539704673e-03,0.000000000000000000e+00
9.944665335352920882e-03,1.050538608443304586e-03,0.000000000000000000e+00
9.943003387003808077e-03,1.066153669050956586e-03,0.000000000000000000e+00
9.941316869060405625e-03,1.081766568597409672e-03,0.000000000000000000e+00
9.939605788642778481e-03,1.097377221550991386e-03,0.000000000000000000e+00
9.937870152702104123e-03,1.112985547090640948e-03,0.000000000000000000e+00
9.936109968036972023e-03,1.128591468635273785e-03,0.000000000000000000e+00
9.934325241308704715e-03,1.144194913420241424e-03,0.000000000000000000e+00
9.932515979055749067e-03,1.159795812116176964e-03,0.000000000000000000e+00
9.930682187707163752e-03,1.175394098485987556e-03,0.000000000000000000e+00
9.928823873595232427e-03,1.190989709076174666e-03,0.000000000000000000e+00
9.926941042967271991e-03,1.206582582939051077e-03,0.000000000000000000e+00
9.925033701996611654e-03,1.222172661382762678e-03,0.000000000000000000e+00
9.923101856792874639e-03,1.237759887746331475e-03,0.000000000000000000e+00
9.921145513411501818e-03,1.253344207197221389e-03,0.000000000000000000e+00
9.919164677862640431e-03,1.268925566549168648e-03,0.000000000000000000e+00
9.917159356119385760e-03,1.284503914098251726e-03,0.000000000000000000e+00
9.915129554125426056e-03,1.300079199475376313e-03,0.000000000000000000e+00
9.913075277802139290e-03,1.315651373513530798e-03,0.000000000000000000e+00
9.910996533055162552e-03,1.331220388128337125e-03,0.000000000000000000e+00
9.908893325780467054e-03,1.346786196210565147e-03,0.000000000000000000e+00
9.906765661869985570e-03,1.362348751529413558e-03,0.000000000000000000e+00
9.904613547216804467e-03,1.377908008645479902e-03,0.000000000000000000e+00
9.902436987719961947e-03,1.393463922832451681e-03,0.000000000000000000e+00
9.900235989288876798e-03,1.409016450006642975e-03,0.000000000000000000e+00
9.898010557847423257e-03,1.424565546663594849e-03,0.000000000000000000e+00
9.895760699337707508e-03,1.440111169821029847e-03,0.000000000000000000e+00
9.893486419723519776e-03,1.455653276967526499e-03,0.000000000000000000e+00
9.891187724993531424e-03,1.471191826016340345e-03,0.000000000000000000e+00
9.888864621164228375e-03,1.486726775263857948e-03,0.000000000000000000e+00
9.886517114282608598e-03,1.502258083352217511e-03,0.000000000000000000e+00
9.884145210428666242e-03,1.517785709235682347e-03,0.000000000000000000e+00
9.881748915717664117e-03,1.533309612150387732e-03,0.000000000000000000e+00
9.879328236302230976e-03,1.548829751587129603e-03,0.000000000000000000e+00
9.876883178374278385e-03,1.564346087266882618e-03,0.000000000000000000e+00
9.874413748166763205e-03,1.579858579118781749e-03,0.000000000000000000e+00
9.871919951955299144e-03,1.595367187260315206e-03,0.000000000000000000e+00
9.869401796059639950e-03,1.610871871979511864e-03,0.000000000000000000e+00
9.866859286845029026e-03,1.626372593718920876e-03,0.000000000000000000e+00
9.864292430723450161e-03,1.641869313061204358e-03,0.000000000000000000e+00
9.861701234154748169e-03,1.657361990716181609e-03,0.000000000000000000e+00
9.859085703647687063e-03,1.672850587509180659e-03,0.000000000000000000e+00
9.856445845760876401e-03,1.688335064370565745e-03,0.000000000000000000e+00
9.853781667103661199e-03,1.703815382326322745e-03,0.000000000000000000e+00
9.851093174336900821e-03,1.719291502489595251e-03,0.000000000000000000e+00
9.848380374173697563e-03,1.734763386053080839e-03,0.000000000000000000e+00
9.845643273380057583e-03,1.750230994282194310e-03,0.000000000000000000e+00
9.842881878775491117e-03,1.765694288508927196e-03,0.000000000000000000e+00
9.840096197233569320e-03,1.781153230126332216e-03,0.000000000000000000e+00
9.837286235682409993e-03,1.796607780583567814e-03,0.000000000000000000e+00
9.834452001105149430e-03,1.812057901381448378e-03,0.000000000000000000e+00
9.831593500540346600e-03,1.827503554068450912e-03,0.000000000000000000e+00
9.828710741082366531e-03,1.842944700237130872e-03,0.000000000000000000e+00
9.825803729881718573e-03,1.858381301520903826e-03,0.000000000000000000e+00
9.822872474145368654e-03,1.873813319591162777e-03,0.000000000000000000e+00
9.819916981137025505e-03,1.889240716154690601e-03,0.000000000000000000e+00
9.816937258177392198e-03,1.904663452951342031e-03,0.000000000000000000e+00
9.813933312644403800e-03,1.920081491751967403e-03,0.000000000000000000e+00
9.810905151973425137e-03,1.935494794356553685e-03,0.000000000000000000e+00
9.807852783657455484e-03,1.950903322592560446e-03,0.000000000000000000e+00
9.804776215247293369e-03,1.966307038313432325e-03,0.000000000000000000e+00
9.801675454351689229e-03,1.981705903397271325e-03,0.000000000000000000e+00
9.798550508637484183e-03,1.997099879745648735e-03,0.000000000000000000e+00
9.795401385829740140e-03,2.012488929282545656e-03,0.000000000000000000e+00
9.792228093711843884e-03,2.027873013953412993e-03,0.000000000000000000e+00
9.789030640125616356e-03,2.043252095724330548e-03,0.000000000000000000e+00
9.785809032971394192e-03,2.058626136581261524e-03,0.000000000000000000e+00
9.782563280208111250e-03,2.073995098529390728e-03,0.000000000000000000e+00
9.779293389853373208e-03,2.089358943592537366e-03,0.000000000000000000e+00
9.775999369983516540e-03,2.104717633812639398e-03,0.000000000000000000e+00
9.772681228733665765e-03,2.120071131249296435e-03,0.000000000000000000e+00
9.769338974297771608e-03,2.135419397979365121e-03,0.000000000000000000e+00
9.765972614928671719e-03,2.150762396096611746e-03,0.000000000000000000e+00
9.762582158938109753e-03,2.166100087711400873e-03,0.000000000000000000e+00
9.759167614696770063e-03,2.181432434950429915e-03,0.000000000000000000e+00
9.755728990634312398e-03,2.196759399956497560e-03,0.000000000000000000e+00
9.752266295239382307e-03,2.212080944888304701e-03,0.000000000000000000e+00
9.748779537059637165e-03,2.227397031920285743e-03,0.000000000000000000e+00
9.745268724701753107e-03,2.242707623242464615e-03,0.000000000000000000e+00
9.741733866831444114e-03,2.258012681060336379e-03,0.000000000000000000e+00
9.738174972173462007e-03,2.273312167594767046e-03,0.000000000000000000e+00
9.734592049511601661e-03,2.288606045081916819e-03,0.000000000000000000e+00
9.730985107688716607e-03,2.303894275773176337e-03,0.000000000000000000e+00
9.727354155606699956e-03,2.319176821935121143e-03,0.000000000000000000e+00
9.723699202226489605e-03,2.334453645849480456e-03,0.000000000000000000e+00
9.720020256568073433e-03,2.349724709813115053e-03,0.000000000000000000e+00
9.716317327710470228e-03,2.364989976138009032e-03,0.000000000000000000e+00
9.712590424791731417e-03,2.380249407151274581e-03,0.000000000000000000e+00
9.708839557008921983e-03,2.395502965195157614e-03,0.000000000000000000e+00
9.705064733618125675e-03,2.410750612627060759e-03,0.000000000000000000e+00
9.701265963934415509e-03,2.425992311819567208e-03,0.000000000000000000e+00
9.697443257331855512e-03,2.441228025160475847e-03,0.000000000000000000e+00
9.693596623243479898e-03,2.456457715052837686e-03,0.000000000000000000e+00
9.689726071161275725e-03,2.471681343915001390e-03,0.000000000000000000e+00
9.685831610636174219e-03,2.486898874180662727e-03,0.000000000000000000e+00
9.681913251278029958e-03,2.502110268298917903e-03,0.000000000000000000e+00
9.677971002755603527e-03,2.517315488734319078e-03,0.000000000000000000e+00
9.674004874796542433e-03,2.532514497966938984e-03,0.000000000000000000e+00
9.670014877187367228e-03,2.547707258492429468e-03,0.000000000000000000e+00
9.666001019773442018e-03,2.562893732822094355e-03,0.000000000000000000e+00
9.661963312458970998e-03,2.578073883482952765e-03,0.000000000000000000e+00
9.657901765206958547e-03,2.593247673017816737e-03,0.000000000000000000e+00
9.653816388039202293e-03,2.608415063985359324e-03,0.000000000000000000e+00
9.649707191036263620e-03,2.623576018960195252e-03,0.000000000000000000e+00
9.645574184337452062e-03,2.638730500532953781e-03,0.000000000000000000e+00
9.641417378140799271e-03,2.653878471310359803e-03,0.000000000000000000e+00
9.637236782703033008e-03,2.669019893915312771e-03,0.000000000000000000e+00
9.633032408339561523e-03,2.684154730986967798e-03,0.000000000000000000e+00
9.628804265424444064e-03,2.699282945180820226e-03,0.000000000000000000e+00
9.624552364390370068e-03,2.714404499168784988e-03,0.000000000000000000e+00
9.620276715728634867e-03,2.729519355639283343e-03,0.000000000000000000e+00
9.615977329989110201e-03,2.744627477297327447e-03,0.000000000000000000e+00
9.611654217780232073e-03,2.759728826864604051e-03,0.000000000000000000e+00
9.607307389768959122e-03,2.774823367079563407e-03,0.000000000000000000e+00
9.602936856680758734e-03,2.789911060697504702e-03,0.000000000000000000e+00
9.598542629299581033e-03,2.804991870490660191e-03,0.000000000000000000e+00
9.594124718467827648e-03,2.820065759248289311e-03,0.000000000000000000e+00
9.589683135086330898e-03,2.835132689776759772e-03,0.000000000000000000e+00
9.585217890114324304e-03,2.850192624899641671e-03,0.000000000000000000e+00
9.580728994569418303e-03,2.865245527457791191e-03,0.000000000000000000e+00
9.576216459527570751e-03,2.880291360309442539e-03,0.000000000000000000e+00
9.571680296123067852e-03,2.895330086330297724e-03,0.000000000000000000e+00
9.567120515548485984e-03,2.910361668413612417e-03,0.000000000000000000e+00
9.562537129054672624e-03,2.925386069470288335e-03,0.000000000000000000e+00
9.557930147950715119e-03,2.940403252428962135e-03,0.000000000000000000e+00
9.553299583603916401e-03,2.955413180236095196e-03,0.000000000000000000e+00
9.548645447439765496e-03,2.970415815856062951e-03,0.000000000000000000e+00
9.543967750941908038e-03,2.985411122271247261e-03,0.000000000000000000e+00
9.539266505652120240e-03,3.000399062482121855e-03,0.000000000000000000e+00
9.534541723170279412e-03,3.015379599507350336e-03,0.000000000000000000e+00
9.529793415154341404e-03,3.030352696383865549e-03,0.000000000000000000e+00
9.525021593320298977e-03,3.045318316166970626e-03,0.000000000000000000e+00
9.520226269442167918e-03,3.060276421930423554e-03,0.000000000000000000e+00
9.515407455351947152e-03,3.075226976766527384e-03,0.000000000000000000e+00
9.510565162939594447e-03,3.090169943786223467e-03,0.000000000000000000e+00
9.505699404153000395e-03,3.105105286119180796e-03,0.000000000000000000e+00
9.500810190997951987e-03,3.120032966913884910e-03,0.000000000000000000e+00
9.495897535538106587e-03,3.134952949337729833e-03,0.000000000000000000e+00
9.490961449894960711e-03,3.149865196577109148e-03,0.000000000000000000e+00
9.486001946247825736e-03,3.164769671837505335e-03,0.000000000000000000e+00
9.481019036833791477e-03,3.179666338343578678e-03,0.000000000000000000e+00
9.476012733947696692e-03,3.194555159339261801e-03,0.000000000000000000e+00
9.470983049942104798e-03,3.209436098087847713e-03,0.000000000000000000e+00
9.465929997227265705e-03,3.224309117872079140e-03,0.000000000000000000e+00
9.460853588271089798e-03,3.239174181994240037e-03,0.000000000000000000e+00
9.455753835599114976e-03,3.254031253776247523e-03,0.000000000000000000e+00
9.450630751794480630e-03,3.268880296559737320e-03,0.000000000000000000e+00
9.445484349497891216e-03,3.283721273706162198e-03,0.000000000000000000e+00
9.440314641407583293e-03,3.298554148596873070e-03,0.000000000000000000e+00
9.435121640279301239e-03,3.313378884633215275e-03,0.000000000000000000e+00
9.429905358926262554e-03,3.328195445236617478e-03,0.000000000000000000e+00
9.424665810219126638e-03,3.343003793848680575e-03,0.000000000000000000e+00
9.419403007085960094e-03,3.357803893931268768e-03,0.000000000000000000e+00
9.414116962512207240e-03,3.372595708966599336e-03,0.000000000000000000e+00
9.408807689540664085e-03,3.387379202457332841e-03,0.000000000000000000e+00
9.403475201271431494e-03,3.402154337926663330e-03,0.000000000000000000e+00
9.398119510861897841e-03,3.416921078918408114e-03,0.000000000000000000e+00
9.392740631526695638e-03,3.431679388997096666e-03,0.000000000000000000e+00
9.387338576537678989e-03,3.446429231748062566e-03,0.000000000000000000e+00
9.381913359223881949e-03,3.461170570777531100e-03,0.000000000000000000e+00
9.376464992971489040e-03,3.475903369712710338e-03,0.000000000000000000e+00
9.370993491223804026e-03,3.490627592201880035e-03,0.000000000000000000e+00
9.365498867481215212e-03,3.505343201914482704e-03,0.000000000000000000e+00
9.359981135301160757e-03,3.520050162541211655e-03,0.000000000000000000e+00
9.354440308298095710e-03,3.534748437794102069e-03,0.000000000000000000e+00
9.348876400143460788e-03,3.549437991406618163e-03,0.000000000000000000e+00
9.343289424565649412e-03,3.564118787133745570e-03,0.000000000000000000e+00
9.337679395349964342e-03,3.578790788752077637e-03,0.000000000000000000e+00
9.332046326338600331e-03,3.593453960059908667e-03,0.000000000000000000e+00
9.326390231430592079e-03,3.608108264877318925e-03,0.000000000000000000e+00
9.320711124581795154e-03,3.622753667046267438e-03,0.000000000000000000e+00
9.315009019804839155e-03,3.637390130430678738e-03,0.000000000000000000e+00
9.309283931169099954e-03,3.652017618916533932e-03,0.000000000000000000e+00
9.303535872800668474e-03,3.666636096411957872e-03,0.000000000000000000e+00
9.297764858882303848e-03,3.681245526847309792e-03,0.000000000000000000e+00
9.291970903653412606e-03,3.695845874175272654e-03,0.000000000000000000e+00
9.286154021410001833e-03,3.710437102370938572e-03,0.000000000000000000e+00
9.280314226504651418e-03,3.725019175431903366e-03,0.000000000000000000e+00
9.274451533346474152e-03,3.739592057378351118e-03,0.000000000000000000e+00
9.268565956401081038e-03,3.754155712253142221e-03,0.000000000000000000e+00
9.262657510190553528e-03,3.768710104121907045e-03,0.000000000000000000e+00
9.256726209293389754e-03,3.783255197073128774e-03,0.000000000000000000e+00
9.250772068344487176e-03,3.797790955218237514e-03,0.000000000000000000e+00
9.244795102035099216e-03,3.812317342691693995e-03,0.000000000000000000e+00
9.238795325112791890e-03,3.826834323651080640e-03,0.000000000000000000e+00
9.232772752381421255e-03,3.841341862277190475e-03,0.000000000000000000e+00
9.226727398701086574e-03,3.855839922774112992e-03,0.000000000000000000e+00
9.220659278988097354e-03,3.870328469369326528e-03,0.000000000000000000e+00
9.214568408214933448e-03,3.884807466313780662e-03,0.000000000000000000e+00
9.208454801410217300e-03,3.899276877881990323e-03,0.000000000000000000e+00
9.202318473658663636e-03,3.913736668372120794e-03,0.000000000000000000e+00
9.196159440101049978e-03,3.928186802106076181e-03,0.000000000000000000e+00
9.189977715934180211e-03,3.942627243429588750e-03,0.000000000000000000e+00
9.183773316410844684e-03,3.957057956712303065e-03,0.000000000000000000e+00
9.177546256839783784e-03,3.971478906347869660e-03,0.000000000000000000e+00
9.171296552585648035e-03,3.985890056754028306e-03,0.000000000000000000e+00
9.165024219068956465e-03,4.000291372372698218e-03,0.000000000000000000e+00
9.158729271766075791e-03,4.014682817670065657e-03,0.000000000000000000e+00
9.152411726209157966e-03,4.029064357136668932e-03,0.000000000000000000e+00
9.146071597986119364e-03,4.043435955287487740e-03,0.000000000000000000e+00
9.139708902740597413e-03,4.057797576662033369e-03,0.000000000000000000e+00
9.133323656171908958e-03,4.072149185824432832e-03,0.000000000000000000e+00
9.126915874035015572e-03,4.086490747363517341e-03,0.000000000000000000e+00
9.120485572140483652e-03,4.100822225892909907e-03,0.000000000000000000e+00
9.114032766354442788e-03,4.115143586051110344e-03,0.000000000000000000e+00
9.107557472598549336e-03,4.129454792501585474e-03,0.000000000000000000e+00
9.101059706849948250e-03,4.143755809932859330e-03,0.000000000000000000e+00
9.094539485141231450e-03,4.158046603058590356e-03,0.000000000000000000e+00
9.087996823560394455e-03,4.172327136617667680e-03,0.000000000000000000e+00
9.081431738250806893e-03,4.186597375374293516e-03,0.000000000000000000e+00
9.074844245411163926e-03,4.200857284118074235e-03,0.000000000000000000e+00
9.068234361295448090e-03,4.215106827664101032e-03,0.000000000000000000e+00
9.061602102212894597e-03,4.229345970853041863e-03,0.000000000000000000e+00
9.054947484527939294e-03,4.243574678551227317e-03,0.000000000000000000e+00
9.048270524660190911e-03,4.257792915650733881e-03,0.000000000000000000e+00
9.041571239084387687e-03,4.272000647069476749e-03,0.000000000000000000e+00
9.034849644330347068e-03,4.286197837751289617e-03,0.000000000000000000e+00
9.028105756982934479e-03,4.300384452666016627e-03,0.000000000000000000e+00
9.021339593682026897e-03,4.314560456809594761e-03,0.000000000000000000e+00
9.014551171122455603e-03,4.328725815204144053e-03,0.000000000000000000e+00
9.007740506053978427e-03,4.342880492898049984e-03,0.000000000000000000e+00
9.000907615281238117e-03,4.357024454966052819e-03,0.000000000000000000e+00
8.994052515663708558e-03,4.371157666509332615e-03,0.000000000000000000e+00
8.987175224115670491e-03,4.385280092655593348e-03,0.000000000000000000e+00
8.980275757606155998e-03,4.399391698559153990e-03,0.000000000000000000e+00
8.973354133158910340e-03,4.413492449401029173e-03,0.000000000000000000e+00
8.966410367852357260e-03,4.427582310389017659e-03,0.000000000000000000e+00
8.959444478819546948e-03,4.441661246757787340e-03,0.000000000000000000e+00
8.952456483248116131e-03,4.455729223768963715e-03,0.000000000000000000e+00
8.945446398380249922e-03,4.469786206711212281e-03,0.000000000000000000e+00
8.938414241512638442e-03,4.483832160900322675e-03,0.000000000000000000e+00
8.931360029996426517e-03,4.497867051679301474e-03,0.000000000000000000e+00
8.924283781237178984e-03,4.511890844418451132e-03,0.000000000000000000e+00
8.917185512694839056e-03,4.525903504515454111e-03,0.000000000000000000e+00
8.910065241883679751e-03,4.539904997395468288e-03,0.000000000000000000e+00
8.902922986372257055e-03,4.553895288511199818e-03,0.000000000000000000e+00
8.895758763783378695e-03,4.567874343342995073e-03,0.000000000000000000e+00
8.888572591794053832e-03,4.581842127398928245e-03,0.000000000000000000e+00
8.881364488135444490e-03,4.595798606214879407e-03,0.000000000000000000e+00
8.874134470592832599e-03,4.609743745354623855e-03,0.000000000000000000e+00
8.866882557005564477e-03,4.623677510409918839e-03,0.000000000000000000e+00
8.859608765267019612e-03,4.637599867000582500e-03,0.000000000000000000e+00
8.852313113324551674e-03,4.651510780774584936e-03,0.000000000000000000e+00
8.844995619179460769e-03,4.665410217408128869e-03,0.000000000000000000e+00
8.837656300886934449e-03,4.679298142605735518e-03,0.000000000000000000e+00
8.830295176556009554e-03,4.693174522100330461e-03,0.000000000000000000e+00
8.822912264349532310e-03,4.707039321653327772e-03,0.000000000000000000e+00
8.815507582484101087e-03,4.720892507054710689e-03,0.000000000000000000e+00
8.808081149230035170e-03,4.734734044123123549e-03,0.000000000000000000e+00
8.800632982911319249e-03,4.748563898705948118e-03,0.000000000000000000e+00
8.793163101905561788e-03,4.762382036679393797e-03,0.000000000000000000e+00
8.785671524643953387e-03,4.776188423948577420e-03,0.000000000000000000e+00
8.778158269611216480e-03,4.789983026447612591e-03,0.000000000000000000e+00
8.770623355345560229e-03,4.803765810139687745e-03,0.000000000000000000e+00
8.763066800438635423e-03,4.817536741017154622e-03,0.000000000000000000e+00
8.755488623535491108e-03,4.831295785101610667e-03,0.000000000000000000e+00
8.747888843334527750e-03,4.845042908443982291e-03,0.000000000000000000e+00
8.740267478587441727e-03,4.858778077124608144e-03,0.000000000000000000e+00
8.732624548099201037e-03,4.872501257253325849e-03,0.000000000000000000e+00
8.724960070727968975e-03,4.886212414969552664e-03,0.000000000000000000e+00
8.717274065385088519e-03,4.899911516442368754e-03,0.000000000000000000e+00
8.709566551035007737e-03,4.913598527870603923e-03,0.000000000000000000e+00
8.701837546695255499e-03,4.927273415482919146e-03,0.000000000000000000e+00
8.694087071436380765e-03,4.940936145537886369e-03,0.000000000000000000e+00
8.686315144381910949e-03,4.954586684324078713e-03,0.000000000000000000e+00
8.678521784708303349e-03,4.968224998160148537e-03,0.000000000000000000e+00
8.670707011644898307e-03,4.981851053394911570e-03,0.000000000000000000e+00
8.662870844473872373e-03,4.995464816407431917e-03,0.000000000000000000e+00
8.655013302530187996e-03,5.009066253607102719e-03,0.000000000000000000e+00
8.647134405201548427e-03,5.022655331433728554e-03,0.000000000000000000e+00
8.639234171928350872e-03,5.036232016357612175e-03,0.000000000000000000e+00
8.631312622203636195e-03,5.049796274879632570e-03,0.000000000000000000e+00
8.623369775573038604e-03,5.063348073531329964e-03,0.000000000000000000e+00
8.615405651634742284e-03,5.076887378874988220e-03,0.000000000000000000e+00
8.607420270039434565e-03,5.090414157503718104e-03,0.000000000000000000e+00
8.599413650490246933e-03,5.103928376041537082e-03,0.000000000000000000e+00
8.591385812742722075e-03,5.117430001143453457e-03,0.000000000000000000e+00
8.583336776604746227e-03,5.130918999495553100e-03,0.000000000000000000e+00
8.575266561936519677e-03,5.144395337815069712e-03,0.000000000000000000e+00
8.567175188650492587e-03,5.157858982850479362e-03,0.000000000000000000e+00
8.559062676711326825e-03,5.171309901381576819e-03,0.000000000000000000e+00
8.550929046135836986e-03,5.184748060219557080e-03,0.000000000000000000e+00
8.542774316992948758e-03,5.198173426207100371e-03,0.000000000000000000e+00
8.534598509403645145e-03,5.211585966218448482e-03,0.000000000000000000e+00
8.526401643540917896e-03,5.224985647159494963e-03,0.000000000000000000e+00
8.518183739629722404e-03,5.238372435967855387e-03,0.000000000000000000e+00
8.509944817946915249e-03,5.251746299612962757e-03,0.000000000000000000e+00
8.501684898821219513e-03,5.265107205096136896e-03,0.000000000000000000e+00
8.493404002633162322e-03,5.278455119450670315e-03,0.000000000000000000e+00
8.485102149815033218e-03,5.291790009741912347e-03,0.000000000000000000e+00
8.476779360850828643e-03,5.305111843067347212e-03,0.000000000000000000e+00
8.468435656276203372e-03,5.318420586556673810e-03,0.000000000000000000e+00
8.460071056678418466e-03,5.331716207371892460e-03,0.000000000000000000e+00
8.451685582696290971e-03,5.344998672707379495e-03,0.000000000000000000e+00
8.443279255020147075e-03,5.358267949789973124e-03,0.000000000000000000e+00
8.434852094391761396e-03,5.371524005879048901e-03,0.000000000000000000e+00
8.426404121604318814e-03,5.384766808266609056e-03,0.000000000000000000e+00
8.417935357502348559e-03,5.397996324277351890e-03,0.000000000000000000e+00
8.409445822981686039e-03,5.411212521268765445e-03,0.000000000000000000e+00
8.400935538989415599e-03,5.424415366631194294e-03,0.000000000000000000e+00
8.392404526523813274e-03,5.437604827787932346e-03,0.000000000000000000e+00
8.383852806634305155e-03,5.450780872195293107e-03,0.000000000000000000e+00
8.375280400421411878e-03,5.463943467342698146e-03,0.000000000000000000e+00
8.366687329036693113e-03,5.477092580752752557e-03,0.000000000000000000e+00
8.358073613682697259e-03,5.490228179981324758e-03,0.000000000000000000e+00
8.349439275612912867e-03,5.503350232617630622e-03,0.000000000000000000e+00
8.340784336131707929e-03,5.516458706284310676e-03,0.000000000000000000e+00
8.332108816594284775e-03,5.529553568637506425e-03,0.000000000000000000e+00
8.323412738406629763e-03,5.542634787366948826e-03,0.000000000000000000e+00
8.314696123025447361e-03,5.555702330196031144e-03,0.000000000000000000e+00
8.305958991958121984e-03,5.568756164881888751e-03,0.000000000000000000e+00
