accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
3.876768895695228544e-03,2.175205762458602265e-03,-9.801001197344943350e+00
-6.262075851101079780e-04,-4.668386600676098334e-03,-9.796010842859868006e+00
-4.255330191975061592e-03,3.196898402315719902e-03,-9.796124174993336098e+00
-2.011473739796388813e-03,-5.614082240162829567e-04,-9.790992054127235278e+00
5.934045188101786522e-03,-2.312564432262068613e-03,-9.789592497340532162e+00
-3.824221897127694225e-03,6.878535648561273121e-03,-9.800082209986046067e+00
-8.540317081579968869e-03,4.494260140017945944e-03,-9.790681341626406464e+00
-5.164178537280933050e-05,1.050735231046929976e-03,-9.791530870468404757e+00
3.065789287936875052e-03,-4.642606352831541838e-04,-9.797005637140459910e+00
3.311048772102450580e-03,-1.471250200960212999e-03,-9.797602654172564485e+00
-8.147018564288895353e-04,2.999223027044773185e-03,-9.792340386708843880e+00
7.947215777337538617e-03,1.278441778476293363e-03,-9.796467587320769610e+00
-6.545863552989180344e-03,-7.800263883614732587e-03,-9.793476380827248917e+00
-4.800985863656450844e-03,-4.188591840069418731e-03,-9.790287138426961633e+00
-2.462538749007635330e-04,3.583237254553772559e-03,-9.795923014628767689e+00
-3.057301152770394975e-03,6.117798594792547492e-03,-9.796864530902510637e+00
-2.432399290034948768e-03,4.813972971228317951e-03,-9.795688725978275002e+00
-2.361506321225127422e-03,4.573207188446087867e-03,-9.801037473315650672e+00
2.444093823295304373e-03,3.769831526975323151e-03,-9.789039823945486773e+00
-3.121516781926792806e-03,-7.390508741963910076e-03,-9.790190529841707345e+00
-1.114665311449111003e-03,1.174052883271923349e-03,-9.790419012986813385e+00
-7.534288083497557922e-03,-7.045809398571224735e-03,-9.788375734123858862e+00
1.523270845531159807e-03,-6.955931420362169819e-03,-9.797733246088368375e+00
-6.493475821904947168e-03,-7.263357046188125173e-03,-9.794781970332715915e+00
-3.548197948354299500e-03,9.512510584881948492e-03,-9.793186865063464808e+00
-9.780653672068952836e-03,3.247642428254116434e-03,-9.796117031748821091e+00
-3.135764545785336499e-04,-6.135321810841222728e-04,-9.796882249745216598e+00
3.760015693427875248e-03,-4.329082534618360588e-03,-9.800649109282318250e+00
5.691076411180425636e-04,-3.554955814377155389e-03,-9.790413434076624455e+00
-1.130970855219283998e-02,-7.209237960908796827e-04,-9.791649052516472551e+00
-2.130446447986463279e-03,-5.241622490196782506e-04,-9.800798595892882048e+00
1.016050229056740918e-03,3.440688992232226410e-03,-9.799032569615345523e+00
4.880130982574547760e-04,-6.192679419519986003e-03,-9.795784472071348503e+00
-2.265837942617056171e-03,6.239752786381270316e-03,-9.799665607393675870e+00
3.042698617514105319e-03,9.568306630123069338e-04,-9.795833745429552764e+00
-3.314208031132846646e-03,-7.307771526145531021e-03,-9.795150146356528253e+00
-8.295188635219575071e-04,1.246874649372161845e-02,-9.794345089428359685e+00
5.222731668724639318e-05,-4.317593997556952185e-04,-9.797040379733289228e+00
-3.502538800395600845e-03,4.409546310085285872e-03,-9.793905500240681405e+00
-3.176874262865234024e-03,3.016109409164392796e-03,-9.790196246168797245e+00
-7.111003600567214304e-03,-8.626700890198908678e-03,-9.789458858484536563e+00
-5.847265165768286612e-04,8.009825729678054021e-03,-9.796828127389693108e+00
3.969986650477102738e-03,4.504651932606378549e-03,-9.799427296093153217e+00
-4.210572341306370418e-03,2.274165228283307055e-03,-9.791698760275741265e+00
4.382317500329251168e-04,3.265194200604610089e-03,-9.799362503337116337e+00
7.589254760475801394e-03,-8.019129089307363428e-04,-9.791160653201153252e+00
-4.384451513701059268e-03,6.114651585705866213e-05,-9.790106281715976522e+00
1.251620893294052433e-02,3.822716842100821674e-03,-9.803979179312790393e+00
