gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.476189182324112420e-02,-3.720969333855878459e-03,8.919070357084896372e+00
3.435704400126112640e-02,-1.010055956663654664e-01,9.002979335303043840e+00
-1.458302025540881078e-02,-3.447656202433768691e-02,8.992416651287856055e+00
1.266551697797697364e-02,1.714173633925068080e-02,8.962306066148235217e+00
5.264239764920436437e-03,-9.575937879593956342e-03,9.028566061420381317e+00
-2.643513527877353747e-02,6.149027799122149147e-03,9.040635622921335823e+00
-4.164295578519915109e-02,2.870815881569252839e-02,8.970211186216545229e+00
-5.260134020056083173e-03,1.884998542466504237e-02,9.021195280746930223e+00
8.255699515496468799e-02,9.456524951171855695e-03,8.964809387701370369e+00
-2.287427281327095163e-03,-4.050143354436739479e-03,8.973917940608902910e+00
-2.014146922581589762e-03,-7.536137686940556912e-02,9.026280061335704374e+00
-2.271681476442233977e-02,1.806982828346435227e-02,9.044789308231706570e+00
-3.191981982713960192e-02,-1.680050032287707176e-02,8.951790397066432092e+00
-3.003066419441851459e-02,-7.704264664420971964e-02,8.989478935828536521e+00
-5.604886028613852850e-02,1.412155220025699707e-03,9.044576614136065729e+00
6.786395527234803660e-02,-1.751943614030031585e-02,9.029322889391524498e+00
3.138317476888970170e-02,3.600548042623214623e-02,8.993488482964126618e+00
2.253001591748008542e-02,4.344643532151719334e-02,8.982381195759529646e+00
2.695304638856083415e-04,7.160314795616991301e-02,8.994588469483687732e+00
1.671746642433204894e-02,1.028235138736245322e-02,8.941119156445793692e+00
9.211058358393729717e-02,-3.837565974110272726e-02,9.052938704147495130e+00
2.091259688287134579e-03,-2.649094790506127672e-02,8.936533294115941217e+00
-7.605936474117279064e-03,5.474725009714802304e-02,9.020544585420630312e+00
-4.193667081890201098e-03,-1.059808948806378708e-02,9.007055968661633827e+00
7.740739499905624661e-03,1.209241422580685163e-02,8.966102403025960399e+00
-2.333298446835860990e-02,-2.829942181023479761e-02,9.000705486669380306e+00
1.601489648701251781e-02,-2.071580726018438373e-02,8.929495259087879333e+00
5.427841395062757424e-02,-1.213717847607058281e-01,9.087398375315125065e+00
6.162834168655954153e-02,3.683963964836152460e-02,9.037973670891007671e+00
-5.716224432956028279e-02,-1.045974500110752325e-02,8.958535266413688802e+00
-2.354105274912577511e-02,-1.745260644554099923e-04,8.975834060344023868e+00
1.536332864946217749e-02,2.340308462525908864e-02,9.028819749420264884e+00
9.215455517398227214e-02,5.401256796403022808e-02,8.931855680267094755e+00
4.140875804924689513e-02,-1.050879596273243677e-01,8.971677119212253970e+00
2.280484555117405152e-02,2.872372899881717179e-02,9.031568216691029605e+00
5.890376194543424371e-02,8.173760151694683257e-03,8.875099092832581249e+00
-1.938165326514510681e-03,6.525806307834488250e-03,8.930202537423303610e+00
-4.834004186435506174e-03,7.246427886346790137e-02,9.067142724725444580e+00
1.785563402953115747e-02,-3.156048454743624193e-02,8.961736403963497466e+00
6.337012635957726958e-02,7.852978301896573754e-02,9.019013503142165433e+00
-7.335266726825942496e-02,-6.363392985024811377e-02,8.960442955076736382e+00
8.065812826532615942e-02,-7.319306496431785469e-04,8.971354103344836517e+00
-3.745673450957294481e-02,5.393306831030895976e-02,9.019040345719645302e+00
4.000351466874121908e-03,2.748147076657747601e-02,8.994714381352190813e+00
7.424430890732805488e-02,2.731831807487039576e-02,8.987791589021707495e+00
-2.997586644905937334e-02,-3.475229115724091933e-02,9.067551987064005559e+00
-4.039565005943192288e-03,1.274531335237970991e-02,9.011477377814845369e+00
-3.921843378832316589e-03,2.436743666253685797e-02,9.017488501986759886e+00
-3.283532210319606987e-02,-3.763735629105536412e-02,9.040254606188897313e+00
4.299927780434155411e-02,-2.269479113264683337e-02,8.971703429432007937e+00
-9.133495228936101828e-02,3.420353381007228133e-02,9.001870366740869045e+00
2.746485225562206658e-02,-8.218202663956035436e-02,9.038051057602578098e+00
-7.063793441880590607e-02,2.261924281632289244e-02,8.976402273245600583e+00
-2.506883207416353218e-02,1.854511671034949141e-02,9.063653239988065380e+00
9.032219287978851888e-03,6.745154009374955406e-02,8.994471194678574477e+00
-6.267403471682497784e-02,-6.234022447516336662e-02,8.990200959596513997e+00
-4.052142063515869197e-02,2.109561496530699271e-02,9.012982729323152142e+00
-1.018754900165749419e-02,1.649493901001840550e-03,8.958326875905411768e+00
-2.281184905618392073e-02,2.654998874757943592e-02,9.089730926552828549e+00
5.991571581579202554e-02,-3.869729055947303265e-02,9.067354059364729935e+00
2.643159587802173735e-02,5.651174810170080456e-03,8.982309473941155531e+00
1.042862243206485601e-01,1.142131718932598225e-02,8.999749090548899488e+00
-1.133748290544227093e-02,-1.818198148333484074e-02,9.028550465403895942e+00
-1.102996780614938672e-02,-7.230414749881380887e-02,8.976631113456720712e+00
-1.316287575154963946e-02,8.371568364113659818e-04,9.014744930731630745e+00
4.814515363613811050e-02,-2.532705067643956781e-02,8.951622169509523275e+00
2.581854075110232016e-03,7.564011472789750057e-02,9.021717104964533718e+00
-1.377671300966528886e-02,-4.113147479874370432e-03,9.013471837446550339e+00
1.759482834622713016e-02,7.004898028042950975e-02,8.987388497718486136e+00
-2.236452596512076424e-02,1.806590495169261776e-02,9.010097353679537235e+00
-8.278242698153106399e-03,6.743096411000976814e-03,8.944293033874400223e+00
-8.662358317945147157e-02,-7.446737971227537778e-02,8.981050215140962578e+00
3.806964605724565587e-05,3.402284052935985233e-03,9.085904024934670531e+00
3.381254150898996974e-02,6.825335575154717338e-02,9.009503119565664520e+00
-6.242505373321272782e-02,2.597640931609157544e-02,9.018210204544038433e+00
5.007763231357315048e-02,-3.605060357811356447e-02,8.981415611611780037e+00
8.776734209578066284e-03,4.282797120840842880e-02,8.965478987551653844e+00
2.075853244234913617e-02,2.288993535481210692e-02,9.040232348971240839e+00
-3.963290311677984679e-02,2.545200324101758171e-02,9.017746487002259670e+00
1.148372011968550391e-02,-3.945356427899957691e-02,8.988925852824204199e+00
2.757633168486679689e-03,3.343043978055414839e-02,8.968889322733083702e+00
5.211979535734583696e-02,-7.360632813118998113e-03,9.010319254364002717e+00
4.257194627099077089e-02,-9.054201188232868097e-03,8.962106979161889697e+00
-1.002588418240479839e-01,-1.250913523095195483e-02,9.010519098431950979e+00
4.085693285980765486e-04,6.487775909946780564e-03,8.972316452383218177e+00
-6.850969680929151762e-03,-2.989526710919740080e-02,8.960908261377383610e+00
3.543118209275908370e-02,3.571037916879150204e-02,9.024829384409448707e+00
1.143759455837032625e-02,-2.681640999494537200e-02,8.980141667808199557e+00
-1.131279126671809881e-01,2.056918473529981140e-02,8.996631704912186223e+00
7.037421360023458916e-02,7.125128375635099431e-02,8.962571916822330564e+00
-7.522109398664846708e-03,-2.757690769265303075e-03,8.993528891082233301e+00
-1.417997631597343357e-02,5.529823255377141339e-02,9.031245589817666897e+00
4.431867564639714249e-03,-1.581142958070161711e-02,9.039717510931357225e+00
-1.636107493497687346e-02,-1.798376952670360969e-03,9.042244530462840046e+00
4.921638076611146301e-02,-9.797313983003905213e-02,9.057799277604829058e+00
2.037970289082154107e-02,1.655928475124182966e-02,9.054648757447857577e+00
3.885907054567976516e-03,-2.609747800404409526e-02,8.954918108775908436e+00
-1.048409281850367150e-02,8.751029362208971596e-03,9.010475463712069200e+00
3.104477681547267859e-02,5.467995433755964280e-02,9.042207367382633976e+00
4.832659488636074224e-02,5.348956048826262327e-02,8.968509561189419443e+00
1.555293892291515975e-02,6.973704323994865673e-02,9.068144796849278322e+00
-3.451962780510482026e-02,-9.436449495020913115e-04,9.018290024090285684e+00
-6.382430002461197960e-02,3.547587850788789382e-02,9.022308653725193750e+00
-2.590646823609771623e-02,-3.349043746471288413e-02,9.029406184698462567e+00
-5.882264409253952671e-03,3.726145233490932296e-02,9.008973460169549696e+00
-2.944663971974206471e-02,3.008373646755770851e-03,9.008150471931935854e+00
5.404756576966341514e-02,-3.809980628926221136e-02,8.977649025041914754e+00
9.976008092603735194e-03,-2.387973493926187282e-02,9.040688803812502172e+00
2.327279231538799398e-02,8.235100094797069559e-02,8.964093300717470569e+00
-4.597504355431075718e-02,1.782612174261867174e-02,8.984936094350150171e+00
-9.129928081363496151e-02,-1.521149322961145786e-02,9.017037520705491360e+00
-2.130369580472037810e-02,-6.977767339916719075e-03,8.998170925810569543e+00
1.599866710493186642e-02,1.926382367874609602e-03,9.051022303155637161e+00
-7.732654910477676502e-02,-5.934111209904133211e-02,9.059972171408437802e+00
1.589575247579380970e-02,8.527621770675065938e-02,9.013615871251152711e+00
-5.127036014220964083e-02,1.060398755471912424e-01,9.007184271734743675e+00
4.538489599272190617e-02,-2.332662173943497730e-02,9.009389065762562154e+00
2.809731907171643742e-02,-2.600111074023225485e-02,9.027150648233062569e+00
3.102046858208666255e-02,3.153899911677225665e-02,8.953519029606127333e+00
4.160924434070985951e-04,-2.575667669241745589e-02,8.930684612990720694e+00
2.088047468373422158e-02,-1.246311844076732345e-01,9.017707974220016354e+00
-3.036395868731244646e-02,7.154389181124917729e-02,9.028214481312431872e+00
7.057914444877438909e-03,-1.416316979396088985e-02,8.985699528351606347e+00
-7.635713433774925230e-02,-3.490918114795270311e-02,9.024427627919299866e+00
1.602890582740014794e-02,1.343642767922768877e-02,8.989636081491196862e+00
-4.269995417733939147e-02,-4.332892081018622360e-02,8.963235778763442241e+00
-5.498106650880863096e-03,2.245947175106981220e-02,9.089528606158857826e+00
