gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.602377202918207942e-03,1.998501989915477031e-03,3.877558504306458705e-03
-4.997853331900893072e-03,2.773430848921932222e-03,9.536437329134228591e-03
-3.992370325923725802e-03,1.769371257320595872e-02,1.257162846907801217e-02
-2.574624687011192476e-03,-1.684942901281095149e-03,6.764510627264567382e-04
3.498019145903359488e-03,-5.982525823473801123e-03,2.892430631303310497e-03
-1.708013164403079671e-03,3.767740824886385217e-03,2.587407313703922549e-03
2.261219391151404311e-03,-4.111591810777677145e-03,-1.727777396806469065e-02
4.732031602556766893e-03,1.820772512022160797e-03,-1.099300506576371579e-02
3.578040331700869676e-03,8.316070421849751371e-03,2.090406145988031247e-02
-6.175558099453893300e-03,1.875981585549394651e-03,5.984103728995031173e-03
4.314712598044943490e-03,1.483348535649412631e-03,7.514690665059288812e-05
-1.065358089363820961e-02,-1.677041892681770292e-03,-1.327111887211678345e-02
-1.384310545846667594e-04,-2.598237875948246432e-03,-1.321150507341891517e-02
5.242693776378703173e-03,-6.149675849691613357e-03,-2.067711738510815724e-03
-4.753610834956388878e-03,-1.593898740630315600e-02,3.867679285339289692e-03
-1.184880750965129625e-03,-8.893593921323562565e-03,2.226371768070478305e-03
6.300709998002623075e-03,-5.850217936721341556e-03,1.253492943097288433e-02
-1.369652315701543402e-02,3.299479537313756983e-03,4.223678137912169339e-03
-8.501399666160458155e-03,-1.252759870096526069e-04,-1.023429468699812647e-02
4.840947796617053856e-04,-2.929708837797262173e-03,-1.025434692345184376e-02
1.032006861700560628e-02,-7.976676794354998698e-03,7.181417054896739767e-03
-5.403133333104107733e-03,3.253742551191297037e-03,-9.510026556338217014e-04
8.794610249786482745e-03,1.053064698334465858e-02,-1.755663488942291574e-03
-3.591954714793003500e-03,-1.017536816179103604e-02,-9.607130930693587268e-04
-1.995810849913391607e-03,2.417869207385701935e-02,-6.746135105789676824e-03
1.384374010010810388e-03,-7.330319683619820545e-03,-8.455843118225950944e-03
3.251739930098069761e-03,-7.085092635347809385e-03,-1.177173135766832607e-02
7.057665945978635128e-03,6.327823431545346981e-03,-1.396335257874157588e-04
-1.461538041915155881e-03,9.259865477312015369e-03,-2.302600391305827717e-03
-4.787957663352677279e-03,6.467375935543751009e-03,9.078806787101810841e-03
3.705560730067206879e-03,-1.389869963662109485e-03,-6.949916096234144344e-03
-4.238512183347088215e-03,1.297682179786222890e-02,-9.775888471741755298e-05
1.372725566774624616e-03,-7.506709959882396956e-03,9.424413145956209549e-05
-1.871707704784790222e-03,7.512212349668507573e-03,-1.209431314581553389e-02
-9.929160379476230629e-04,1.261804146791421777e-02,6.576657021271073086e-03
1.350208660272942882e-02,5.440366934598373817e-03,1.148855049888661273e-02
-4.854414524324847033e-03,-6.978568794126953530e-03,-1.807452800357464695e-02
-4.432031168956431649e-03,-6.570157529630703090e-03,-5.255852899298149063e-03
-7.467463347148815475e-03,-9.036732526616061967e-03,-5.557661595592111852e-04
-9.556648694978192235e-03,8.204974157917630656e-03,-1.616630891253995062e-02
-6.939697847833025020e-03,1.092369083328598167e-02,8.021833085517357433e-04
1.582351718806475783e-04,-7.739326685957531593e-03,7.394503725202073059e-03
-9.464178852699603808e-03,2.038950337712155253e-02,8.581073140905530125e-03
-4.620456276371787650e-03,3.042470900806214153e-03,-8.157285253845653061e-03
6.821024520879180684e-04,-1.864437902276597442e-03,1.105832264369802781e-02
9.872829281285489759e-04,1.033642912618833003e-02,4.637673286653851840e-03
-1.381802010526036149e-02,6.997226530271146491e-04,7.852436232135577218e-03
-1.653847337906805617e-02,-3.125784530813489458e-03,8.768758546733085649e-03
-2.886249702025480302e-03,9.449069316867463736e-03,-4.236437525372844203e-03
-1.016307441549548288e-02,1.027043854815573240e-02,-4.265099475391569378e-05
9.719158649590428634e-03,4.223487397969172101e-03,-3.270729296618061274e-03
-3.764186218101237252e-03,-3.387125993655942194e-03,-1.080280119271855716e-03
-3.450603730113281468e-03,1.284886765378355500e-02,-8.014040810528030162e-03
-3.050072034294203354e-03,6.456044607635370327e-05,-2.774186209967686133e-03
-1.748583650787531888e-03,-8.921625185072326256e-03,2.565715048514055283e-03
-1.029903965267352575e-02,-6.310200168203057569e-03,2.184038102270306932e-03
1.854648898085148670e-02,-1.302882352486957503e-02,2.376930479345855298e-03
5.236074366587161084e-03,2.372848626080992489e-03,-9.167445739548644307e-03
-2.089717037953505406e-03,-1.134614443974907121e-03,-1.113892753638262741e-02
-2.003659935869615827e-03,7.502068901810250365e-03,1.778645155174556720e-03
7.558679688849162179e-03,8.554138499101669041e-03,-2.123136463704944354e-02
5.417077309430827492e-03,7.868342725718381614e-03,6.278316120851479797e-03
-4.831706260979199037e-03,1.584935984227888936e-02,-4.711244601001912148e-03
-6.982621031042433001e-04,2.362116849956756495e-03,5.144725749884321471e-03
6.223773989688458942e-03,3.652709786676199520e-03,-3.253713149948034115e-03
-1.003936498272608481e-02,3.514447752990641598e-03,-1.206398764510199610e-02
5.836344873688942628e-03,-2.915363283571927033e-03,-1.540132971702988572e-04
-5.102719238565990231e-03,8.658503929609717015e-03,-6.274098594685640663e-03
-9.966117170427515881e-03,-1.041088791514919142e-02,-1.359167997307287983e-02
5.831977011668758315e-03,2.128471347848511549e-03,-2.846396862550123509e-03
-1.567310017424702537e-02,5.073040632456417114e-03,3.621431891600489662e-03
7.761050757593142106e-03,-1.118867939392701816e-03,-4.622691657011533672e-03
-3.307629676886184554e-03,-7.364143662241365990e-03,1.909599302066607510e-02
6.840384408771559488e-04,-5.561480639320277863e-03,1.200608666908809137e-02
-1.520049468060489335e-03,-4.585906827120777955e-03,6.185215114350213093e-04
-4.295472556726544038e-03,-2.860850422679136768e-03,-1.672429864985953106e-03
-1.549068210996791452e-03,1.977303057058993688e-02,-2.273762801356775994e-03
9.039883712441271202e-03,-1.467934645593168067e-03,6.900841906609241246e-03
3.358832866172559422e-03,1.438942214873368413e-04,4.925026352244650865e-03
-2.468426609292643267e-04,5.370609793497613249e-03,-5.325614740526673184e-03
-6.030112989582632650e-03,-2.907572189114897548e-03,2.530016358922667252e-04
1.128804804097079898e-03,-1.386214959966008443e-02,1.265707330699348231e-02
1.308006025420305196e-03,-4.036370442180990670e-03,-7.715901144929121708e-04
-3.847048634733236938e-03,3.377218659000908504e-03,6.494510126903725589e-03
-2.017139931022344113e-03,2.714668487573832379e-03,-1.111816506932940957e-02
4.446815838500439017e-03,4.529634663001982572e-03,-1.089010861404200899e-02
-6.853146304388217170e-04,-8.964230036634076096e-03,1.251393382321427244e-02
7.680468071057638263e-03,8.113460771252958489e-03,-2.229990819494174180e-03
8.067213792633912443e-04,1.131741450277904543e-02,-4.239026408562925584e-03
-1.582346913214552038e-03,-1.762794546932546164e-03,-1.104093361389608344e-03
-2.478478374994711603e-03,9.583580937093895066e-03,-1.508020043663702318e-03
-5.065824675500720485e-03,5.470400584275590845e-03,6.675017801964545222e-03
-1.014546251709752501e-03,8.223367403554086505e-03,6.986435249966039011e-04
-1.574111994481363144e-03,1.443911781468419468e-02,-1.686157653794551460e-03
-4.601182214651102984e-03,1.194590074833517049e-02,1.325442154150854174e-02
7.670316766451675504e-03,-1.015363153749999740e-02,-6.338610436745147590e-03
3.907359656375988290e-03,-1.865275187043767199e-02,3.792574357298896578e-03
-1.261131542535337373e-02,-3.171543570683891394e-03,5.146754193182160285e-03
1.156449945473616431e-02,-5.666115774376925644e-03,8.365533129802888573e-03
1.864115286982851935e-03,5.030845237657679929e-03,6.296469408872905869e-03
-4.472742746901328908e-04,-1.808718679087689685e-03,-9.749537703919751441e-03
