accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.034868064046247371e-02,9.797366659961883814e-03,-9.770369902575168908e+00
1.012353545141414686e-02,9.763628592163099695e-03,-9.770264234344734788e+00
9.879901479845737758e-03,1.028515192624666376e-02,-9.770622795122434923e+00
1.054310086083505398e-02,1.004612633610574984e-02,-9.770142822790159443e+00
1.003862878363943716e-02,1.024023653476692150e-02,-9.770588814653013543e+00
9.923838807593019298e-03,9.216240515976791350e-03,-9.770272647600672045e+00
9.772700347005490798e-03,9.395818794508181693e-03,-9.770355614981102832e+00
1.035008718347794204e-02,9.807941086087479735e-03,-9.770375533689517056e+00
9.711586302426071515e-03,9.922866570064777306e-03,-9.770660528844970827e+00
1.005708851802633065e-02,1.012277297337841643e-02,-9.770134880635341190e+00
9.593233465484072783e-03,9.748601194765961139e-03,-9.769966010882118468e+00
9.584977583185600239e-03,9.831403535647757763e-03,-9.769798344021905834e+00
9.838980666043559489e-03,9.826207207734997603e-03,-9.770425822013718786e+00
9.852440531623892980e-03,1.041339638475103496e-02,-9.769990742830884756e+00
9.797966558356923164e-03,1.015987013947032384e-02,-9.770726950988152026e+00
1.023711236578584219e-02,1.011763644007465310e-02,-9.770368274785157681e+00
9.606046503754194638e-03,9.828221720104522718e-03,-9.770355227230387740e+00
9.542095589217076609e-03,1.037277720842889016e-02,-9.769774492793990461e+00
1.006207365169759123e-02,1.029708994943777725e-02,-9.770317354374608243e+00
9.640762839168379519e-03,1.046465903114678943e-02,-9.770119368859925046e+00
1.061133369299795126e-02,1.042432211655888383e-02,-9.770160368287118757e+00
1.031077750915139653e-02,9.607972154628817776e-03,-9.770735109034404786e+00
9.979080380953476645e-03,1.012016639284339485e-02,-9.770431315361323144e+00
1.063418626962780653e-02,9.924757388885447479e-03,-9.770256197655776020e+00
1.063428414283205947e-02,9.605806805130784679e-03,-9.770172217479064614e+00
1.021845202596299851e-02,1.009954301521280053e-02,-9.770655667630764540e+00
1.051488732406659875e-02,9.476078098464516680e-03,-9.770370675154678608e+00
9.908365771529852734e-03,9.572482360151970959e-03,-9.769964235308215450e+00
1.000108279603083121e-02,1.009621588960427779e-02,-9.770090891313198966e+00
1.018978713284962069e-02,9.765537703008437403e-03,-9.770308853960399276e+00
1.003476627588861109e-02,9.894942110728761550e-03,-9.770186021235845786e+00
1.024724394268599660e-02,1.017631384671539851e-02,-9.770401398981897856e+00
9.834077302110534602e-03,9.793565209333512933e-03,-9.770736913139176139e+00
9.858083193729563765e-03,9.887115288283258516e-03,-9.770529133507704245e+00
1.014540139718958685e-02,1.017464584915431236e-02,-9.770197276783084916e+00
1.066418297014890340e-02,9.904659143252315945e-03,-9.769763537358798544e+00
1.037442075683375244e-02,9.075636165502798738e-03,-9.770116486582008264e+00
1.016786349152040518e-02,9.943393322508752366e-03,-9.770152411523712388e+00
9.930353328629961188e-03,1.024603877391203413e-02,-9.770016591850087195e+00
9.705026083819351043e-03,9.500431385248879826e-03,-9.770243997210249276e+00
9.918153006690038145e-03,9.999282129266104727e-03,-9.770388600681004121e+00
9.802362177062068360e-03,9.776582578416981653e-03,-9.770036731043562739e+00
9.416834515825610319e-03,9.667030974503929008e-03,-9.770324991034206263e+00
1.009944118983086524e-02,9.972471191288728026e-03,-9.770237129416171840e+00
9.977986057150391511e-03,9.841102765465429766e-03,-9.769961175049513002e+00
1.020094717720271098e-02,1.011061731724553943e-02,-9.770449193831362678e+00
1.010549754538801921e-02,1.029555482082425942e-02,-9.769646645305465782e+00
1.042607686890249970e-02,9.713235253307911723e-03,-9.770505621344550917e+00
1.071623270525720595e-02,9.917233170027640529e-03,-9.770865518817515749e+00
1.011139940157175857e-02,9.760345204104551101e-03,-9.769948341070714193e+00
9.660730422606345069e-03,9.953009766054312507e-03,-9.770279865749449399e+00
9.420810057915585470e-03,9.847904559624962029e-03,-9.770748354915385292e+00
9.439911504841717524e-03,9.864386917744218455e-03,-9.770281976418837999e+00
9.979387353047227890e-03,1.029732072185852998e-02,-9.770312480219175200e+00
1.015035415488709479e-02,1.021132405808253783e-02,-9.770268223054337398e+00
9.701201285163800134e-03,9.528476627194174334e-03,-9.770390992529272012e+00
1.025108872260121866e-02,9.679308802312465779e-03,-9.769888053602725719e+00
1.005675694159636514e-02,1.031247348047226869e-02,-9.770790257824280900e+00
9.588375171993342855e-03,9.813771676344788114e-03,-9.770109981827506118e+00
9.936118008764023221e-03,1.000942840624498634e-02,-9.770302627511371796e+00
1.041719770594982074e-02,1.005324225575742261e-02,-9.769903120642920769e+00
9.897443104648370391e-03,1.010100041350980686e-02,-9.770700586774127672e+00
1.030301177919324372e-02,1.017222661791680402e-02,-9.770357133277999040e+00
9.725373573618309800e-03,1.047238953806681194e-02,-9.770385870605942102e+00
1.028607301009197041e-02,1.070561196748065318e-02,-9.769882430437746734e+00
9.974765752450771850e-03,1.062701225278023937e-02,-9.769818592870096907e+00
1.050936886310725391e-02,9.748675802985941677e-03,-9.770408988431327657e+00
1.023613962643164614e-02,1.006027649637883034e-02,-9.770158444196141545e+00
1.013571772998377724e-02,1.012289787805711189e-02,-9.770843644696652674e+00
1.047932658189637892e-02,9.834488816737789116e-03,-9.769991890060788720e+00
1.000810307048285649e-02,1.033528426874515301e-02,-9.770416984061643717e+00
1.012784718224249599e-02,9.890253416290524513e-03,-9.769761151517739606e+00
1.013052290898830247e-02,1.041841293618845851e-02,-9.770973687386558026e+00
1.009242111384232345e-02,1.020072308090957426e-02,-9.769817013265109651e+00
1.000502037886438420e-02,1.030322749040139124e-02,-9.770172602366775649e+00
1.025166192592277814e-02,1.012947037978162608e-02,-9.770281856472095683e+00
1.071444627174192657e-02,9.561202487871095501e-03,-9.770296677458377488e+00
1.008698213994815504e-02,1.038823172813143313e-02,-9.770591677605182213e+00
1.021683751868123977e-02,1.026986281078384744e-02,-9.770306389068780462e+00
